timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z
13.572,42,1.5648,-3.5595305,0.5145605,0.8836606,-0.0024147995,6.5524415e-05,0.468122,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
13.864,43,1.5922296,-3.5539708,0.5180626,0.88359207,0.007837595,-0.002500033,0.4681854,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
14.167,44,1.635753,-3.5388627,0.50803953,0.8841581,0.0021745209,-0.00049818953,0.4671826,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
14.456,45,1.6795752,-3.4918177,0.4940855,0.8839831,-0.0013893157,-0.010463227,0.46739987,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
14.769,46,1.7304139,-3.4132965,0.49216095,0.88225937,-0.007898659,-0.014139651,0.47048506,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
15.088,47,1.7783618,-3.3381376,0.50401086,0.8808983,-0.017476955,-0.0060484703,0.47294417,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
15.372,48,1.8064691,-3.2785969,0.5090827,0.8647081,-0.01690541,-0.0050380523,0.5019648,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
15.667,49,1.8135201,-3.2242901,0.50838214,0.8249874,-0.0072800047,-0.0062081967,0.56507015,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
15.970,50,1.8008748,-3.174397,0.49643022,0.7662705,-0.0025886116,-0.009811504,0.642438,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
16.261,51,1.7935642,-3.150946,0.4954332,0.69849753,-0.0017850164,-0.006275341,0.71558285,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
16.559,52,1.793476,-3.1448226,0.50981396,0.6224666,0.0025079898,0.004826217,0.7826275,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
16.849,53,1.7898824,-3.1327026,0.52796435,0.56694674,-0.0003038975,0.013463003,0.82364434,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
17.150,54,1.7766639,-3.0984967,0.5310721,0.5605086,0.0015610666,0.015633183,0.8279996,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
17.454,55,1.748154,-3.0340743,0.5207863,0.56101024,-0.0021468215,0.016251182,0.82764655,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
17.762,56,1.7087755,-2.9386356,0.5096105,0.5869695,-0.0105201155,0.004115474,0.80953026,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
18.055,57,1.6739502,-2.817453,0.49224073,0.6314714,-0.013859297,-0.01833362,0.7750585,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
18.352,58,1.638726,-2.6515725,0.49642205,0.66443837,-0.0098388605,-0.003440707,0.74727046,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
18.641,59,1.6067156,-2.4710848,0.4867017,0.6743096,-0.001017076,0.003461739,0.73844004,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
18.930,60,1.584666,-2.279976,0.48809406,0.6649617,0.009948876,0.016657397,0.7466255,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
19.233,61,1.5759518,-2.0761006,0.49609098,0.66186625,0.00087612524,0.030540219,0.7489992,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
19.559,62,1.5605955,-1.8846902,0.49930182,0.6463384,0.013734344,0.018227287,0.7627095,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
19.866,63,1.5295191,-1.6914877,0.5017431,0.6132529,0.023206742,-0.00046889554,0.7895456,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
20.177,64,1.4837862,-1.5019786,0.50226253,0.5908009,0.0013411127,-0.002393969,0.80681276,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
20.522,65,1.4248916,-1.3236943,0.48876482,0.58275867,0.012537745,-0.010794081,0.8124768,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
20.900,66,1.3555956,-1.1499014,0.48787826,0.57602006,0.015335408,-0.016289512,0.8171293,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
21.188,67,1.2811413,-0.969882,0.49872604,0.5668302,-1.1685262e-05,-0.008571885,0.8237901,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
21.513,68,1.2119875,-0.7912898,0.5025416,0.5676717,0.008357254,-0.009540288,0.8231573,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
21.820,69,1.1385568,-0.5958399,0.5120874,0.57118213,-0.0035549202,-0.0034431913,0.82080853,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
22.147,70,1.0648652,-0.4055688,0.50574434,0.57063,-0.0029662075,-0.0051744855,0.82118565,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
